'台北二','臺北市中山區民族東路336號'
'台北市場',''
'台北一','108台北市萬華區萬大路533號'
'板橋區','220新北市板橋區板城路1000號'
'三重區','241新北市三重區中正北路111號'
'宜蘭市','260宜蘭縣宜蘭市黎明二路1號'
'桃農','338桃園市蘆竹區文中路一段107號'
'台中市','407台中市西屯區中清路二段1558號'
'豐原區','420台中市豐原區豐原大道八段369號'
'東勢鎮','423台中市東勢區第一橫街126號'
'永靖鄉','512彰化縣永靖鄉裕農路58號'
'溪湖鎮','514彰化縣溪湖鎮長青街22號'
'嘉義市','600嘉義市西區埤竹路50號'
'西螺鎮','648雲林縣西螺鎮福來路38號'
'台南市場','709台南市安南區怡安路二段102號第二棟'
'高雄市','807高雄市三民區民族一路100號'
'鳳山區','830高雄市鳳山區五甲一路451號'
'屏東市','900屏東縣屏東市和生路二段221號'
'台東市','950台東縣台東市濟南街61巷180號'
'花蓮市','973花蓮縣吉安鄉中央路三段403號'
'台中市場','407台中市西屯區中清路二段1558號'
'彰化市場','500彰化縣彰化市新平路146號'
'南投市','540南投縣南投市育樂路120號'
'高雄市場',''